,words,score
1158,рассказывают,2
1170,универсальная,2
48,/re/,2
43,/ne/,2
42,/mu/,2
1160,курс,2
4960,jQuery,2
41,/mo/,2
32,/f/,2
2846,229621750,2
30,/c/,2
25,Gurochn,2
490,сами,2
597,наступит,2
487,распознать,2
156,разрешение,2
1051,годы,2
162,дизайн,2
161,/de/,2
1054,учебным,2
1058,алгоритмы.,2
460,>>229612179,2
1060,229614455,2
157,/zog/,2
468,миддла.,2
3217,"пилить,",2
1047,2го,2
2890,20200915165....jpg,2
2905,полтора,2
3355,отвечал,2
1070,пиздить,2
3134,229622788,2
151,wrhmmer,2
3254,моменты.,2
1076,>>229613063,2
1077,>по,2
1050,90е,2
1040,229614373,2
2898,откуда,2
168,фото,2
3209,229623141,2
4764,"запросов,",2
4763,ваших,2
4762,"баграунда,",2
4761,ВОООБЩЕ,2
176,железо,2
4758,"300380к,",2
1028,ебаную,2
169,/wrk/,2
1029,физику,2
636,смогут.,2
4935,"пишем,",2
1030,ебучую,2
458,"117Кб,",2
641,дошел,2
165,/mus/,2
1036,229614323,2
1037,Вакансий,2
3480,229624335,2
640,лично,2
5081,15000,2
1067,России,2
5082,объем:,2
4733,пришлось,2
5087,файл/ctrlv,2
3493,НАУЧИТЕ,2
134,/mov/,2
478,принципе,2
1087,229614566,2
1088,Интересный,2
620,Рынок,2
1091,"боятся,",2
140,наука,2
617,новые,2
3221,каждому.,2
614,229613067,2
2892,1280x720,2
5092,группа,2
128,/mg/,2
613,12:23:48,2
5086,Кликни/брось,2
753,мотива,2
5083,"20Mб,",2
5085,файлов:,2
1083,229614526,2
5084,колво,2
3816,"чуханы,",1
3832,сравни,1
3842,надежной,1
3324,Школьная,1
3822,командной,1
3834,просрать,1
3823,"отсеивают,",1
3821,участвовать,1
3829,предсказуемые.,1
3837,врачем.,1
3833,"вызубрить,",1
3327,–,1
3836,"гроши,",1
3824,полные,1
3820,"приживаются,",1
3337,нюхал,1
3841,несравнимые.,1
3835,нарабатывать,1
3825,"нули,",1
3326,университетская,1
3808,общаться,1
3828,нормисы,1
3321,поглядывая,1
3827,корзиной,1
3304,"прогеров,",1
3826,омежьей,1
3316,картинкемеме,1
3308,качал,1
3319,вебстудию,1
3323,"человек,",1
3307,"человека,",1
3830,16:24:44,1
3318,пришёл,1
3817,ссатся,1
3331,инженерные.,1
3844,халявы,1
3312,15:25:30,1
3303,"рашке,",1
3845,"оставляешь,",1
3839,"прилично,",1
3317,расы,1
3334,люто,1
3332,"""вкатываться"".",1
3330,обычные,1
3306,>Пиздуй,1
3333,школе/универе,1
3846,просираешь,1
3335,забивал,1
3838,Врачи,1
3847,возможность,1
3314,Дружище...,1
3819,"людьми,",1
3305,никому.,1
3320,php,1
3315,"знаешь,",1
3815,Забитые,1
3336,учёбу,1
3329,"айтифакультеты,",1
3322,документацию.,1
3843,наеба,1
3328,"более,",1
3849,16:25:20,1
3848,"семью,",1
3888,пожизненному,1
3302,адекватный,1
3249,"читается,",1
3933,>>229627285,1
3934,"Медиа,",1
3935,"продажи,",1
3936,инфоцыганство.,1
3937,16:30:00,1
3938,229627686,1
3253,основные,1
3940,индивидуального,1
3941,ментора.,1
3942,16:30:26,1
3943,229627705,1
3944,>>229627426,1
3945,ожидает,1
3251,"требует,",1
3946,"мире,",1
3250,"кишки,",1
3947,"извини,",1
3932,229627600,1
3931,16:28:41,1
3930,Закрыть,1
3919,"джунов,",1
3915,"стажер,",1
3916,"интерн,",1
3259,занять.,1
3917,конторы,1
3918,зависит.,1
3258,>Каждый,1
3257,50100.,1
3920,16:27:20,1
3928,229627584,1
3256,делается,1
3922,планирую,1
3923,наследник,1
3255,"сложное,",1
3925,девяностых,1
3926,умным,1
3927,16:28:22,1
3948,поддерживаю,1
3949,маняфантазии.,1
3261,работу.,1
3950,овердохуя,1
3244,формошлепом.,1
3970,"общительного,",1
3971,"подтянуть,",1
3972,взрослого,1
3973,разговаривать,1
3974,себе.,1
3975,16:30:47,1
3976,229627724,1
3978,"10Кб,",1
3980,вкатываюсь.,1
3983,балакать.,1
3984,оптимист.,1
3985,16:31:25,1
3986,229627766,1
3987,>>229627600,1
3988,>профессия,1
3243,условным,1
3969,"пониже,",1
3968,уровнем,1
3967,нормиса,1
3958,вытянешь,1
3951,"собеседованиях,",1
3248,фреймворку,1
3952,брали,1
3953,связать,1
3955,"слов,",1
3956,мычат,1
3247,документация,1
3959,делали,1
3966,"желающих,",1
3960,нормальном,1
3961,уровне.,1
3962,"выбирать,",1
3963,одну,1
3964,вакансию,1
3246,быстрый.,1
3965,десять,1
3260,минут,1
3262,15:22:12,1
3851,259,1
3291,Душнила,1
3872,заказе,1
3873,получишь,1
3874,словишь,1
3875,карму,1
3876,сольешь,1
3298,примеров,1
3297,обратных,1
3296,"хуйня,",1
3295,">Да,",1
3877,"профиль,",1
3878,следующий,1
3879,получить.,1
3880,поскольку,1
3292,15:23:37,1
3881,денежные,1
3882,биржи,1
3883,upwork,1
3871,первом,1
3870,обосрешься,1
3299,куча.,1
3860,"менеджера,",1
3852,Нельзя.,1
3854,"скиллами,",1
3855,"кабанчиков,",1
3856,словами.,1
3857,Фрилансер,1
3858,выполняет,1
3859,роль,1
3861,"заказчиком,",1
3869,99.99%,1
3862,согласует,1
3863,"требования,",1
3864,обсуждает,1
3865,детали,1
3867,полезешь,1
3868,вероятностью,1
3300,15:25:14,1
3884,позволяют,1
3885,регистрировать,1
3265,слабеньких,1
3886,"повторно,",1
3900,16:27:10,1
3271,психическими,1
3901,229627480,1
3270,людям,1
3902,262,1
3903,"написано,",1
3269,>>229622284,1
3905,подразумевает,1
3267,15:22:25,1
3906,какойникакой,1
3266,мидлов.,1
3907,"додик,",1
3908,посмотрел,1
3909,видосиков,1
3910,интернете,1
3911,"решил,",1
3912,программировать.,1
3272,заболеваниями,1
3899,неприятный,1
3898,злой,1
3281,15:23:10,1
3887,равносильно,1
3290,>>229623138,1
3338,"клей,",1
3889,16:25:57,1
3890,229627366,1
3891,260,1
3283,>>229623041,1
3892,>хороший,1
3274,«если,1
3278,15:22:38,1
3893,Неистово,1
3277,массе,1
3894,двачую.,1
3895,16:26:41,1
3275,это».,1
3897,>>229627141,1
3807,опытом.,1
3544,"менеджером,",1
3806,сотрудников,1
3627,"заболевания,",1
3481,пyнкт,1
3620,"говорю,",1
3479,15:39:00,1
3622,"40,",1
3623,глазницы,1
3478,SUKA,1
3477,OHUEL,1
3624,"смотреть,",1
3625,"""макака"",",1
3626,сопутствующие,1
3628,предпочитает,1
3637,фантазиях.Ты,1
3476,TI,1
3475,DA,1
3629,низу,1
3630,рынка.,1
3631,15:46:32,1
3633,>>229624686,1
3634,выводишь,1
3474,>>229621735,1
3635,основываясь,1
3473,229624227,1
3619,>>229624638,1
3618,229624779,1
3482,лyчше,1
3617,15:45:15,1
3606,укладом.,1
3607,15:44:55,1
3608,229624761,1
3609,>>229624490,1
3492,"КРУДОШЛЁП,",1
3610,"обсуждаем,",1
3491,тренде,1
3490,залупу,1
3489,qos,1
3611,силятся,1
3612,шаге,1
3488,воротничок,1
3487,белый,1
3486,>>229624104,1
3613,"непонятно,",1
3614,шугнут,1
3485,229624422,1
3615,джуновской,1
3484,15:40:07,1
3483,вcегo,1
3616,никогда.,1
3636,собственных,1
3472,15:37:20,1
3805,проверенных,1
3445,курсом,1
3658,229625598,1
3659,235,1
3661,спорю.,1
3452,пыхтящих,1
3450,Проигрывай,1
3449,>>229623743,1
3662,рутиной,1
3663,заняты.,1
3447,15:35:42,1
3446,доллара.,1
3444,"перерации,",1
3471,макдоналдаса.,1
3443,мотиватор.,1
3442,денежный,1
3441,недооцениваешь,1
3440,229624091,1
3664,"тоже,",1
3665,вероятнее,1
3439,15:35:27,1
3667,крудошлёпская,1
3668,"макака,",1
3669,"высокомерная,",1
3657,15:58:11,1
3656,ебануться,1
3453,тужашихся,1
3654,15:56:10,1
3641,15:48:40,1
3642,229624981,1
3464,>>229624091,1
3463,229624203,1
3462,15:37:02,1
3644,>>229624761,1
3645,15:51:07,1
3460,спичка.,1
3647,>>229624041,1
3648,Пятый,1
3459,сгорая,1
3649,пишут.,1
3650,жквери,1
3458,"выкатывающихся,",1
3651,"писали,",1
3457,вкатывающихся,1
3652,"уверены,",1
3456,тысячими,1
3653,легаси,1
3455,"сотнями,",1
3454,"макак,",1
3605,кумовским,1
3604,Россия,1
3603,"родственники,",1
3562,15:43:34,1
3557,сбежать,1
3526,зарплата,1
3558,оклад,1
3559,"55к,",1
3525,>Здесь,1
3524,229624490,1
3523,15:41:12,1
3521,инженерам,1
3560,"сейчас,",1
3561,копейками.,1
3563,229624668,1
3602,дружки,1
3564,последнее,1
3565,осталось,1
3520,бодишопах,1
3566,победить,1
3517,"пиздишь,",1
3515,229624467,1
3568,нормисом,1
3514,15:40:54,1
3569,15:43:47,1
3570,229624686,1
3556,качества.,1
3555,лидерские,1
3527,Разница,1
3554,"усердие,",1
3542,>>229624467,1
3546,"Маке,",1
3547,ДС1.,1
3541,225,1
3539,15:43:12,1
3538,отличии,1
3548,заранее,1
3549,училась,1
3537,"душе,",1
3536,Ненавидишь,1
3551,начиная,1
3535,>>229624422,1
3534,229624495,1
3533,15:41:13,1
3532,конечная.,1
3531,макдональдсе,1
3552,работника,1
3530,"зарплада,",1
3529,стартовая,1
3553,ЧБР.,1
3528,прогера,1
3571,>>229624495,1
3513,"""собратьев""",1
3572,детектор,1
3989,16:31:46,1
3589,талант,1
3502,реактивной,1
3501,"грпц,",1
3590,обычный,1
3591,написано,1
3500,рестам,1
3499,"кубернетесам,",1
3592,объясните,1
3498,микросервисам,1
3593,"нужен,",1
3497,"боба,",1
3594,"2%,",1
3496,дядюшки,1
3495,sold'а,1
3595,подходящего,1
3596,23к,1
3597,обольщаться,1
3598,местным,1
3599,помидорам,1
3601,распильных,1
3494,мудрости,1
3503,параше,1
3505,"сложно,",1
3573,срабатывает,1
3506,каждй,1
3574,высокомерных,1
3575,"""программистов"",",1
3576,"которых,",1
3577,"случаев,",1
3578,рутинны,1
3579,соответствуют,1
3580,задранному,1
3512,ненавижу,1
3511,мразей,1
3581,носу.,1
3510,Тащемта,1
3582,попростому,1
3583,"говоря,",1
3584,"хипсторов,",1
3509,"кость,",1
3585,15:44:19,1
3586,229624723,1
3508,белая,1
3507,справится.,1
3587,очередняра,1
3588,должности,1
3670,типичный,1
3671,хипсторок.,1
3672,15:58:57,1
3762,16:20:29,1
3543,пизжу.,1
3372,15:29:25,1
3756,>>229626892,1
3757,настоящая,1
3371,миддлы/синьоры.,1
3370,двое,1
3759,эйчарка,1
3760,сбрить,1
3368,время.,1
3761,интервью.,1
3763,229627034,1
3738,16:17:08,1
3365,15:26:30,1
3764,252,1
3364,проггеров.,1
3766,Developer,1
3363,некоторых,1
3362,чсвшности,1
3360,"Проиграл,",1
3767,"си,",1
3768,жабасрипт,1
3769,Кек.,1
3374,какоето,1
3755,229627020,1
3375,пренебрежительное,1
3376,галерам.,1
3740,>>229626778,1
3741,>>229626779,1
3742,16:17:44,1
3743,229626875,1
3744,"месяцев,",1
3745,предложения,1
3746,направление,1
3747,16:18:03,1
3748,229626892,1
3384,думают,1
3749,Фантазер.,1
3383,"программистах,",1
3750,16:19:04,1
3751,229626951,1
3382,манекгейткиперов,1
3380,"Сука,",1
3379,229623743,1
3752,"63Кб,",1
3753,680x837,1
3378,15:29:53,1
3754,16:20:12,1
3359,>>229623264,1
3770,16:20:30,1
3771,229627035,1
3347,прошло,1
3789,"меня,",1
3790,"лезут,",1
3791,подпускать,1
3792,пушечный,1
3793,выстрел.,1
3794,16:22:15,1
3345,"срез,",1
3795,229627141,1
3344,"Войнаровского,",1
3343,подряд,1
3796,257,1
3342,вбрасывал,1
3797,Попробуй,1
3798,компуктере,1
3341,>>229623253,1
3799,тетрадке.,1
3800,Полезнее,1
3339,15:25:40,1
3802,"получится,",1
3803,удаленку,1
3804,Удаленка,1
3788,трогайте,1
3787,частью,1
3772,>>229612772,1
3786,ребята,1
3773,вписали.,1
3358,229623468,1
3357,15:26:03,1
3356,60%,1
3774,16:20:46,1
3775,229627050,1
3776,>>229627020,1
3354,среднем,1
3353,анонов,1
3352,тысячи,1
3778,паталогии.,1
3779,16:21:50,1
3351,полторы,1
3350,выборки,1
3781,16:22:00,1
3782,229627128,1
3783,вырастить,1
3349,"оказалось,",1
3348,попытки.,1
3784,хорошего,1
3785,Толковые,1
3739,229626829,1
3737,фрилансе.,1
3438,чада.,1
3418,английском.,1
3689,239,1
3690,околомиллионниках,1
3691,2030,1
3692,максимум.,1
3428,мелкие,1
3426,Меняются,1
3423,пистать,1
3422,судя,1
3420,писали,1
3419,"пиздёж,",1
3694,229626439,1
3385,"""твоё"".",1
3417,туторы,1
3416,курить,1
3695,>>229626115,1
3696,перди,1
3414,15:34:39,1
3697,"живешь,",1
3698,нашей,1
3699,ЖАБУШКУжуну,1
3700,направления,1
3701,229626441,1
3688,229626384,1
3429,вспомагательные,1
3687,16:10:20,1
3686,ДСах.,1
3673,229625637,1
3437,советов,1
3674,>>229625598,1
3436,этому.,1
3675,"Бля,",1
3676,похуй.,1
3435,говорить,1
3677,Вкатывание,1
3678,"нас,",1
3434,>>229621455,1
3433,229624076,1
3679,дрочить,1
3680,15:59:35,1
3681,229625680,1
3682,Двачую,1
3683,16:06:06,1
3432,15:35:11,1
3684,229626115,1
3431,серьезного,1
3685,"несешь,",1
3430,"библиотеки,",1
3702,IMG202009240213....jpg,1
3703,"2670Кб,",1
3704,2280x1710,1
3398,"115Кб,",1
3396,15:31:01,1
3395,нравилось.,1
3394,"избранные,",1
3393,попадают,1
3718,телефону.,1
3719,16:12:27,1
3720,229626530,1
3392,"мирок,",1
3391,"выбиру,",1
3724,поработай.,1
3725,16:14:51,1
3729,229626778,1
3730,никакой,1
3731,"социофобии,",1
3390,перспективно,1
3732,мудак,1
3389,принципу,1
3388,вкатились,1
3733,душный.,1
3734,229626779,1
3387,одноклассники,1
3717,"22,",1
3716,36к,1
3412,Принеси,1
3715,"зажопинске,",1
3705,потихоньку.,1
3706,сделать.,1
3707,отлично.,1
3411,>>229623833,1
3410,229623881,1
3409,15:31:51,1
3408,Браво.,1
3407,тестам.,1
3406,невнятным,1
3708,Тяжело,1
3709,вживую,1
3405,ебучим,1
3404,Охуенно,1
3403,>>229623446,1
3711,16:12:06,1
3402,229623833,1
3401,15:31:06,1
3713,>>229626384,1
3400,>>229623468,1
3714,опсоса,1
3399,703x328,1
3504,формошлепству.,1
4403,источников,1
3990,229627783,1
4747,анализу,1
4734,уйти,1
4735,Wndows,1
4736,"Lnux,",1
4737,архитектуру,1
4738,самой,1
4739,популярной,1
4740,серверной,1
4741,"просил,",1
4742,заставлял.,1
4743,ассамблер,1
4744,получая,1
4745,тянки,1
4746,отсасываютну,1
4748,ставок,1
4731,дверей.,1
4749,букмекерских,1
4750,"контор,",1
4751,вкладывал,1
4752,амзаон,1
4753,друиге,1
4754,облака,1
4755,работали.,1
4756,вкансий,1
4759,стадо,1
4760,"фронтдереов,",1
4767,17:31:55,1
4768,229631252,1
4769,355,1
4732,мачтал,1
4730,фабрики,1
4697,"лагает,",1
4713,удаленный,1
4699,Вручную,1
4700,чистить,1
4701,заебешься.,1
4702,антивирус,1
4703,удаляет,1
4704,гавно:,1
4705,"усовершенствовал,",1
4706,маскировать,1
4707,"EXE,",1
4708,"WoW,",1
4709,Counter,1
4710,Strke.,1
4711,настроил,1
4714,консоли.,1
4729,дверей,1
4715,изучать,1
4716,"PHP,",1
4718,копейки,1
4719,конфигурцию,1
4720,Маршрутны,1
4721,Листов,1
4722,1С.,1
4723,малые,1
4724,конфигурацию,1
4725,подсчета,1
4726,затрат,1
4727,материалов,1
4728,произодства,1
4770,>>229630879,1
4771,считал.,1
4772,17:32:05,1
4820,3.54к,1
4807,аккауратнее,1
4808,наркотиками,1
4809,17:35:37,1
4810,229631487,1
4811,>>229631379,1
4812,приятель,1
4813,лвла,1
4814,"работе,еще",1
4815,подработка,1
4816,апворке,1
4817,сайд,1
4818,местного,1
4819,кабанчика.,1
4821,поднимает.,1
4773,229631264,1
4822,17:38:19,1
4823,229631638,1
4824,"туфта,",1
4825,понимаете,1
4826,лютый,1
4827,"мизантроп,",1
4828,девятого,1
4829,надежде,1
4830,успех.,1
4831,"устроиться,",1
4832,5/2;,1
4833,мерзкими,1
4834,коллегами.,1
4806,>>229631264,1
4805,360,1
4804,229631471,1
4803,17:35:20,1
4774,356,1
4776,похожая,1
4777,"история,только",1
4778,безработный,1
4779,спившийся,1
4780,сторчавшийся,1
4781,неудачник,1
4782,проедающий,1
4783,накопления,1
4784,31лвл,1
4785,17:32:43,1
4786,229631294,1
4787,>Потому,1
4788,сменил,1
4789,гендер,1
4790,17:33:58,1
4791,229631379,1
4792,похоже,1
4793,"правду,",1
4794,Пиздабол.,1
4795,17:35:07,1
4796,229631455,1
4797,"рвись,",1
4798,"виноват,",1
4799,кактус,1
4801,формочки,1
4802,"повезло,",1
4698,Vsul,1
4696,жутко,1
4836,"ужаса,",1
4611,формулам,1
4597,"стираю,",1
4598,"ьпонимаю,",1
4599,ответить.,1
4601,терминами,1
4602,небольшие,1
4603,прикладные,1
4604,"скажу,",1
4605,документооборота,1
4606,"модуль,",1
4607,передеются,1
4608,параметры,1
4609,конструкций,1
4610,пользователя,1
4612,"считает,",1
4595,>>229629816,1
4613,взлетит,1
4614,17:16:07,1
4615,229630282,1
4616,345,1
4617,"менее,",1
4618,продолжают,1
4619,жире,1
4620,"гитхабе,",1
4621,вскукареки,1
4622,недовольных,1
4623,хипстеров.,1
4624,17:17:29,1
4625,229630362,1
4596,третий,1
4594,229630273,1
4695,винда,1
4576,Пашатехник.,1
4562,параша,1
4564,Gtlb,1
4565,фичам,1
4566,ебёт,1
4567,"гитхаб,",1
4568,топовый,1
4569,CI,1
4570,коробки.,1
4571,17:10:13,1
4572,229629949,1
4573,340,1
4574,>>229629884,1
4575,Инспекторгаджет,1
4577,17:10:31,1
4593,17:15:59,1
4578,229629966,1
4579,341,1
4581,17:11:43,1
4582,229630035,1
4583,гитхабе,1
4584,экшена,1
4586,"пробовал,",1
4587,компании,1
4588,гитлаб,1
4589,перешли,1
4590,17:14:46,1
4591,229630199,1
4592,Литр,1
4627,Недовольные,1
4628,хипстеры,1
4629,"гитлабе,",1
4679,17:25:05,1
4664,229630661,1
4665,Вперед.,1
4666,Архитектура,1
4667,Примитивные,1
4669,типызначения,1
4670,Структурныессылочные,1
4671,Императивные,1
4672,Парадигмы,1
4673,проектирвоания,1
4674,Выбираешь,1
4675,языкфреймворк,1
4676,17:23:35,1
4677,229630741,1
4680,229630823,1
4630,развернутом,1
4681,352,1
4682,спс,1
4683,17:26:03,1
4684,229630879,1
4685,353,1
4686,17:30:02,1
4687,229631137,1
4688,354,1
4689,Смотри.,1
4690,опросник,1
4691,Turbo,1
4693,Вирус,1
4694,забивает,1
4663,17:22:16,1
4662,изучение,1
4661,сэкномил,1
4660,тветил,1
4631,серверах,1
4632,компании.,1
4633,Полет,1
4634,отличный.,1
4635,17:17:50,1
4636,229630381,1
4637,347,1
4638,деплоят,1
4639,папочки,1
4640,фтп.,1
4641,17:17:59,1
4642,229630399,1
4643,>>229629606,1
4644,собираюсь,1
4646,актуально.,1
4647,нухуя,1
4648,делания,1
4649,передаю,1
4650,привет,1
4651,"нахуй,",1
4652,ваше,1
4653,своя,1
4654,каша,1
4655,гречневая,1
4656,овсянка,1
4657,17:19:21,1
4658,229630486,1
4835,раздражают,1
4837,худобедно,1
4560,корпоративная,1
5019,>>229616328,1
5006,больно.,1
5007,подучить,1
5008,коечто,1
5009,грустный,1
5010,"период,",1
5011,корке,1
5012,поддерживают,1
5013,костыли,1
5014,ваяли,1
5015,либы,1
5016,осваивали.,1
5017,17:51:48,1
5018,229632403,1
5020,"наебалово,",1
5004,"сторону,",1
5021,"менторство,",1
5022,"хуйню,",1
5023,сборную,1
5024,солянку,1
5025,17:52:09,1
5026,229632423,1
5027,надрочил,1
5028,пояснял,1
5029,непонятные,1
5030,python.,1
5031,рублей,1
5032,образования.,1
5033,эффективней,1
5005,выкатили,1
5003,лучшую,1
4972,срыгчанского,1
4987,>>229632083,1
4974,побырому,1
4975,17:50:00,1
4976,229632292,1
4977,376,1
4978,>>229632097,1
4979,"Маня,",1
4980,появился,1
4981,времена,1
4982,считался,1
4983,нормальным.,1
4984,17:51:11,1
4985,229632363,1
4986,377,1
4988,добавлю,1
5002,процессе,1
4989,сдохло,1
4990,неактуально:,1
4991,"slverlght,",1
4992,"wpf,",1
4993,"wnforms,",1
4994,"knockout,",1
4995,"jquery,",1
4996,sp.net,1
4997,mvc,1
4998,"сдохло,",1
4999,востребовано.,1
5000,Помимо,1
5001,сдохшего,1
5034,сложность,1
5035,дислокацией.,1
5036,130к,1
5096,пасскода,1
5073,Двача:,1
5074,"2ch.hk,",1
5075,"2ch.pm,",1
5076,"2ch.re,",1
5077,"2ch.tf,",1
5078,"2ch.wf,",1
5079,"2ch.yt,",1
5080,2ch.so,1
5088,Отправка,1
5089,поста,1
5093,Sge,1
5094,Ватермарка,1
5095,Покупка,1
5097,обходить,1
5037,дс2,1
5098,капчу.,1
5099,отправкой,1
5100,сообщения,1
5101,прочтите,1
5102,FAQ,1
5104,правила,1
5105,dvchnnel,1
5106,конфа,1
5107,шидевор,1
5108,Стикеры,1
5110,следить,1
5111,за:,1
5112,постами,1
5072,Зеркала,1
5071,сообщите,1
5070,"правил,",1
5069,размещённую,1
5038,17:53:30,1
5039,229632500,1
5040,>>229632423,1
5041,кулсторей,1
5042,найдутся,1
5043,носиться,1
5044,порванной,1
5045,кричать,1
5048,Подписаться,1
5050,сегодня,1
5051,права,1
5052,копирайты,1
5054,правообладателям.,1
5055,любую,1
5056,размещенную,1
5057,информацию,1
5058,несет,1
5059,личную,1
5060,ответственность,1
5061,"лицо,",1
5062,загрузившее,1
5063,информацию.,1
5064,комментарии,1
5065,"лицам,",1
5066,отправившим,1
5067,обнаружили,1
5068,"информацию,",1
4973,оформил,1
4971,мальчик,1
4838,кормит.,1
4887,17:42:30,1
4872,КЛАССИЧЕСКИМ,1
4873,17:41:36,1
4874,229631824,1
4876,17:42:23,1
4877,229631863,1
4878,367,1
4879,>>229631812,1
4880,>врёёёёёёётииии,1
4881,сочный,1
4882,бубалех,1
4883,нищей,1
4885,бальзам,1
4886,душу,1
4888,229631874,1
4869,365,1
4889,368,1
4890,>>229631824,1
4891,"траты,",1
4892,банки,1
4893,вывожу.,1
4894,80100к.,1
4895,17:43:32,1
4896,229631935,1
4897,369,1
4898,>>229631874,1
4899,сорта,1
4900,"банков,",1
4901,17:44:40,1
4871,ПИЗДОЛБОЛ,1
4868,229631812,1
4970,>>229632210,1
4852,"110Кб,",1
4839,"общем,",1
4840,Сычёв,1
4841,Хиккан,1
4842,"Славяныч,",1
4843,ищи,1
4844,спасение.,1
4845,Обычная,1
4846,работёнка,1
4847,"отвратительные,",1
4848,долбаёбы.,1
4849,17:39:48,1
4850,229631722,1
4851,363,1
4853,606x1280,1
4867,17:41:19,1
4854,>>229631455,1
4855,Vue,1
4856,является,1
4857,"обязанностями,",1
4858,"сложного,",1
4859,копошитесь,1
4860,17:41:00,1
4861,229631791,1
4862,364,1
4863,притворяешься,1
4864,"троллинга,",1
4865,искреннее,1
4866,интересуюсь.,1
4902,229631995,1
4903,"ангуляр,",1
4904,бэкендеров.,1
4951,229632083,1
4938,17:44:46,1
4939,229632000,1
4940,>>229631935,1
4941,"инвестировать,",1
4942,пиздоболов,1
4943,"сфере,",1
4944,инфляция,1
4945,сжирает,1
4946,"рубли,",1
4947,поделать.,1
4948,валюту,1
4949,переводить.,1
4950,17:46:30,1
4952,372,1
4905,"""писал",1
4954,>ангуляр,1
4956,ngxs,1
4957,pollo,1
4958,17:46:44,1
4959,229632097,1
4961,ебанные,1
4962,IE,1
4964,почемуто,1
4965,17:48:40,1
4966,229632210,1
4967,повелись,1
4968,17:49:29,1
4969,229632259,1
4937,переучиваться,1
4936,сдохнет,1
4934,1015,1
4933,"стек,",1
4906,паскале,1
4907,"лет""",1
4908,похожи,1
4909,воспоминания,1
4910,дедов,1
4911,"раньше,",1
4912,"позвонить,",1
4913,справочник,1
4914,листали,1
4915,просилы,1
4916,барышню,1
4917,смольным,1
4918,соединить.,1
4919,"программиста,",1
4920,"профессии,",1
4921,"знания,",1
4922,потребуются,1
4923,прогресса.,1
4924,преимуществ,1
4925,бэкенда,1
4926,"фронтендов,",1
4927,плюсов,1
4928,"шарпами,",1
4929,реакта,1
4930,джквери,1
4931,"фигня,",1
4932,хороую,1
4561,каловая,1
4559,зашкарная,1
3991,"сюрприз,",1
4192,"вкатывался,",1
4177,перекладывает,1
4179,16:41:57,1
4180,229628346,1
4181,"994Кб,",1
4182,>Код,1
4183,книжку,1
4184,питону,1
4185,навернул,1
4186,пике,1
4187,чето,1
4188,"делал,",1
4189,строчки,1
4190,"написал,",1
4193,хватало.,1
4175,дергает,1
4194,16:42:04,1
4195,229628359,1
4196,293,1
4197,>>229628147,1
4199,Короче,1
4200,очередной,1
4201,попался,1
4202,считает,1
4203,Хррртфу,1
4204,16:42:30,1
4205,229628383,1
4206,294,1
4207,"бизнес,",1
4176,оттуда,1
4174,"скрипт,",1
4138,"выдумал,",1
4158,>что,1
4140,скорее,1
4142,примечательный,1
4143,16:38:35,1
4144,229628150,1
4145,286,1
4147,16:38:38,1
4148,229628151,1
4149,287,1
4150,НАНОСЕКУНДУ,1
4151,16:39:30,1
4152,229628204,1
4153,288,1
4154,Поразному.,1
4159,16:40:12,1
4173,>>229628271,1
4160,229628237,1
4161,щелчку,1
4162,пальцев,1
4163,вакууме,1
4164,16:40:41,1
4165,229628271,1
4166,290,1
4167,>>229628204,1
4168,>коннектор,1
4169,"Че,",1
4170,16:41:29,1
4171,229628321,1
4172,291,1
4208,автоматизированные,1
4209,западе,1
4210,любая,1
4260,16:44:34,1
4247,делом.,1
4248,16:44:01,1
4249,229628492,1
4250,>>229628453,1
4251,16:44:07,1
4252,229628499,1
4253,технобыдлий,1
4254,"постсоветикус,",1
4255,рвись,1
4256,мимоайтишник,1
4257,инженерного,1
4258,комплекса,1
4259,бога,1
4261,229628519,1
4211,"автоматизировали,",1
4262,302,1
4263,>>229628359,1
4264,>Уже,1
4265,"сомневаюсь,",1
4266,диагноз,1
4267,статьям,1
4268,womn.ru,1
4269,ставил.,1
4270,"доктору,",1
4271,"объяснит,",1
4272,унылый,1
4273,душнила.,1
4274,болезнь,1
4246,>>229628406,1
4245,1280x1280,1
4244,"2173Кб,",1
4243,299,1
4212,разноске,1
4213,молока,1
4214,"домам,",1
4215,16:42:38,1
4216,229628395,1
4217,295,1
4218,>>229628237,1
4219,кажется,1
4220,занимаются,1
4221,инженеры,1
4223,фрилансеры.,1
4224,16:42:50,1
4225,229628406,1
4227,инглишь,1
4229,делом,1
4230,16:43:02,1
4231,229628417,1
4232,297,1
4233,"дебилов,",1
4234,быть.,1
4235,16:43:26,1
4236,229628453,1
4237,298,1
4239,>проект,1
4240,>скрипт,1
4241,16:43:56,1
4242,229628484,1
4139,"значит,",1
4137,"почитай,",1
4276,физиологическими,1
4043,тупого,1
4029,прибавится.,1
4030,"толсти,",1
4031,наследником,1
4032,"нуждался,",1
4033,жил,1
4034,спокойно,1
4035,"дул,",1
4036,задумывался,1
4037,вкатах.,1
4038,16:33:49,1
4039,229627892,1
4041,контролировать,1
4042,направлять.,1
4044,16:34:54,1
4027,языков,1
4046,>>229627892,1
4047,вчера,1
4048,решился,1
4049,чтио,1
4050,ногу,1
4051,"временем,",1
4052,выбирая,1
4053,"медицины,",1
4054,армии,1
4055,16:35:28,1
4056,229627977,1
4058,шедуллит,1
